"id","year","tif_number","status","url"
"129","1999","39","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_039_RooseveltCanalAR99.pdf"
"130","1999","40","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_040_RooseveltHomanAR99.pdf"
"131","1999","41","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_041_RyanGarfieldAR99.pdf"
"132","1999","42","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_042_SanitaryDrainageShipCanalAR99.pdf"
"133","1999","43","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_043_StockyardsAnnexAR99.pdf"
"134","1999","44","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_044_StockyardsICAR99.pdf"
"135","1999","45","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_045_StockyardsSEQuadrantAR99.pdf"
"136","1999","46","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_046_WestGrandAR99.pdf"
"137","1999","47","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_047_WestRidgePetersonAR99.pdf"
"138","1999","48","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_048_WesternOgdenAR99.pdf"
"139","1999","49","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_049_89thStateAR99.pdf"
"140","1999","50","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_050_WestPullmanAR99.pdf"
"141","1999","52","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_052_KinzieAR99.pdf"
"142","1999","53","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_053_PilsenAR99.pdf"
"143","1999","54","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_054_StonyIslandBurnsideAR99.pdf"
"144","1999","55","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_055_43rdCottageGroveAR99.pdf"
"145","1999","56","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_056_79thAR99.pdf"
"146","1999","57","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_057_JeffersonParkAR99.pdf"
"147","1999","58","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_058_PortageParkAR99.pdf"
"148","1999","59","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_059_CalumetCermakAR99.pdf"
"149","1999","60","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_060_71stStonyIslandAR99.pdf"
"150","1999","61","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_061_BronzevilleAR99.pdf"
"151","1999","62","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_062_RooseveltRacineAR99.pdf"
"152","1999","63","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_063_CanalCongressAR99.pdf"
"153","1999","64","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_064_NorthwestAR99.pdf"
"154","1999","65","3","https://www.chicago.gov/content/dam/city/depts/dcd/tif/99reports/T_065_WoodlawnAR99.pdf"
