tif_name,tif_year,tif_number,property_tax_extraction,expenses,transfers_in,transfers_out,distribution,fund_balance_end
73rd/University,2011,145,651927,9474,0,0,0,2506159
Touhy/Western,2011,146,661753,2601098,1612383,0,0,9568912
LaSalle Central,2011,147,12800148,6795433,0,9000000,12000000,32578230
Harlem Industrial Park Conservation Area,2011,148,134010,105537,0,0,0,731437
Stevenson/Brighton,2011,149,805279,31142,0,0,0,3210883
Addison South,2011,150,3011361,172905,0,0,0,8132601
Armitage/Pulaski,2011,151,418118,160705,0,0,0,1073423
Little Village Industrial Corridor,2011,152,136742,116902,0,0,0,1803990
Elston/Armstrong Industrial Corridor,2011,153,499898,78382,0,0,0,1676641
Pershing/King,2011,154,78723,1414438,450000,0,0,-52391
79th/Vincennes,2011,155,507239,8535,0,0,0,1865644
Austin Commercial,2011,156,1681670,644720,0,0,0,4386206
Hollywood/Sheridan,2011,157,678906,767649,0,0,0,2235961
Weed/Freemont,2011,158,608528,159111,0,0,0,607125
134th and Avenue K,2011,159,22588,515,0,0,0,22188
Kennedy/Kimball,2011,160,402032,37834,0,0,0,749620
Ogden/Pulaski,2011,161,2586845,1003087,0,0,0,5456009
Kostner Avenue,2011,162,0,265,0,0,0,2140
Archer/Western,2011,163,490017,12204,0,0,0,964086
Little Village East,2011,164,192127,4550,0,0,0,356898
Irving Park/Elston,2011,165,320763,6962,0,0,0,823676
North Pullman,2011,166,252116,207583,0,0,0,332648
Avondale,2011,167,249987,105264,0,0,0,1402047
Calumet River,2011,168,0,0,0,0,0,0
Ewing Avenue,2011,169,215978,268100,300000,0,0,894933
Chicago Lakeside Development Ph.1,2011,170,0,0,0,0,0,0
West Woodlawn,2011,171,102534,1000,0,0,0,101579
Randolph/Wells,2011,172,59330,9000651,9000000,0,0,63265
Montrose/Clarendon,2011,173,0,0,0,0,0,0
67th/Wentworth,2011,174,0,0,0,0,0,0
35th/Halsted,2012,1,0,2502831,0,0,905000,23779182
41st/King,2012,2,0,5833,0,0,130000,906489
49th Street/St. Lawrence Avenue,2012,4,457115,85855,0,0,376000,2351632
60th and Western,2012,5,356479,13652,0,0,429000,3530204
72nd and Cicero,2012,6,257571,7450,0,0,458000,2456771
73rd and Kedzie,2012,7,0,77443,0,0,69000,279176
95th Street and Stony Island,2012,8,1023822,839848,0,0,0,2275732
95th and Western,2012,9,922430,2144832,0,0,114000,3474848
126th and Torrence,2012,10,668885,592822,0,0,0,1357049
Addison Corridor North,2012,11,1527279,45806,0,0,1005000,9191886
Bryn Mawr/Broadway,2012,13,2006168,594432,0,0,906000,0
Division-Hooker,2012,17,155631,5649,0,0,287000,1771293
Division/North Branch,2012,18,233727,8514,0,0,30000,682904
Eastman/North Branch,2012,19,156439,6504,0,0,274000,1588233
Englewood Mall,2012,21,343191,125033,0,0,503000,4817047
Goose Island,2012,23,4362140,2342902,0,0,668000,12891725
Goose Island,2012,23,4362140,2342902,0,0,668000,12891725
Homan-Arthington,2012,24,513114,88464,0,0,147000,5158883
Homan/Grand Trunk,2012,25,259588,7490,0,0,496000,2547077
Irving/Cicero,2012,27,620183,1038979,0,0,0,720812
Lincoln-Belmont-Ashland,2012,28,1128297,1165826,0,0,0,1620286
Michigan/Cermak,2012,29,0,2243910,4000000,0,0,0
Near North,2012,30,17372302,15460733,0,0,3231000,53852139
Near South,2012,31,62767177,16029964,0,0,21539000,196806447
Near West,2012,32,14808163,1007220,0,17940520,2358000,34703487
North Branch (North),2012,33,4253051,298898,0,0,0,35610031
North Branch (South),2012,34,5430165,10433288,0,0,831000,25455128
North-Cicero,2012,35,1114865,370253,0,0,204000,2641431
Read-Dunning,2012,36,0,1512116,0,0,1083000,10900280
River South,2012,37,13981111,1228514,0,4115000,0,54406262
Roosevelt/Cicero,2012,38,2738150,509683,0,0,1528000,12022623
Roosevelt/Canal,2012,39,868703,1084260,0,0,203000,1896679
Roosevelt-Homan,2012,40,0,186814,0,0,371000,8195531
Sanitary Drainage and Ship Canal,2012,42,413818,816837,0,0,0,1165158
Stockyards Annex,2012,43,4219786,2816921,0,3950064,567000,8288141
Stockyards Industrial Commercial,2012,44,2125499,72556,0,0,174000,7194487
Stockyards Southeast Quadrant Industrial,2012,45,2167724,48448,0,0,1124000,10352405
West Grand,2012,46,70007,3803,0,0,38000,294574
Western/Ogden,2012,48,8907941,1703720,0,0,1710000,28877994
89th and State,2012,49,358015,9759,0,0,0,437197
West Pullman Industrial Park Conservation Area,2012,50,0,6231,0,0,0,27917
Kinzie Industrial Corridor,2012,52,18787508,11710076,0,3939144,1064000,48824818
Pilsen Industrial Corridor,2012,53,9960298,14422139,0,0,843000,44989857
Stony Island Avenue Commercial and Burnside Industrial Corridors,2012,54,2678095,2616001,0,1232866,702000,7011800
43rd/Cottage Grove,2012,55,2719657,350112,0,0,451000,11088800
79th Street Corridor,2012,56,0,879229,0,0,249000,5550913
Jefferson Park Business District,2012,57,984032,879241,0,0,235000,4443966
Portage Park,2012,58,2526022,742400,0,0,1265000,14346748
Calumet Avenue/Cermak Road,2012,59,13038537,170343,0,4000000,10000,17640943
71st/Stony Island,2012,60,3321889,6470834,4318608,0,0,17092996
Bronzeville,2012,61,3842884,7305102,2500000,0,1035000,14951517
Roosevelt/Racine,2012,62,1537155,76799,0,0,0,4503164
Canal/Congress,2012,63,18858179,9335655,0,0,2957000,49237938
Northwest Industrial Corridor,2012,64,6273873,1220575,0,3280404,361000,21030788
Woodlawn,2012,65,2842187,619400,0,1147869,1349000,12505730
Greater Southwest Industrial Corridor (East),2012,66,0,321553,0,0,201000,0
Archer Courts,2012,67,304957,121408,0,0,221000,15916811
Roosevelt/Union,2012,68,4370035,8811195,0,0,0,5615768
Pulaski Corridor,2012,69,3069758,816388,0,735709,1344000,13372841
Clark/Montrose,2012,70,2528834,2215721,0,0,610000,0
Galewood/Armitage Industrial,2012,71,2911084,3508265,2091841,0,0,23481280
24th/Michigan,2012,72,1157490,4585553,4310000,0,0,5217029
111th Street/Kedzie Avenue Business District,2012,73,705857,236611,0,0,131000,3012177
Clark Street and Ridge Avenue,2012,74,2035241,2461002,0,0,685000,8872079
Madison/Austin Corridor,2012,75,1616754,4451393,3380368,0,0,13498143
Devon/Western,2012,76,2793280,898547,0,1539900,747000,7967156
Lincoln Avenue,2012,77,2784034,2763701,635240,0,0,10404107
South Works Industrial,2012,78,78961,3978,0,0,185000,964081
35th and Wallace,2012,79,722627,31162,0,0,297000,3556109
Belmont/Central,2012,81,2832767,702542,0,1868759,1491000,11304759
Belmont/Cicero,2012,82,1144009,363516,0,0,176000,4024612
West Irving Park,2012,83,904799,290577,0,0,501000,5923231
Western Avenue North,2012,84,5062311,1092107,0,635240,2818000,20218003
Western Avenue South,2012,85,6305134,6955277,0,0,178000,22848255
Central West,2012,86,14583434,40379511,17940520,0,0,56159644
Fullerton/Milwaukee,2012,87,7185608,7514897,0,0,415000,23134413
Lawrence/Kedzie,2012,88,6783796,9303190,0,0,666000,20096429
Midway Industrial Corridor,2012,89,1197355,38843,0,856920,166000,4473511
Peterson/Cicero,2012,90,385606,19395,0,0,132000,1558284
Peterson/Pulaski,2012,91,546830,217999,0,0,39000,6088233
Greater Southwest Industrial Corridor (West),2012,92,668190,457295,0,0,698679,9000524
South Chicago,2012,93,1887148,211865,0,0,488000,6715738
Chicago/Kingsbury,2012,94,15359111,3427704,0,0,1152000,35641495
Midwest,2012,95,14268696,6125749,0,2737988,961000,45104451
Cicero/Archer,2012,96,889745,114741,0,0,389000,6925878
51st/Archer,2012,97,547333,2934442,2383126,0,0,13110997
63rd/Pulaski,2012,98,2401905,340965,0,1526206,657000,6358600
Archer/Central,2012,99,752002,319132,0,0,0,3334113
Ohio/Wabash,2012,100,1234257,1328693,0,0,0,1247643
Jefferson/Roosevelt,2012,101,5018157,397244,0,0,837000,15535928
Montclare,2012,102,313662,283243,0,0,92000,708721
Lake Calumet Area Industrial,2012,103,2127726,2245711,0,0,245000,14638952
River West,2012,104,12802360,3518132,0,0,1805000,44554332
53rd Street,2012,105,579874,378713,0,0,0,2584854
Englewood Neighborhood,2012,106,4433578,3971266,0,0,414000,24159463
Division/Homan,2012,107,1439963,694774,0,0,111000,7451105
Humboldt Park Commercial,2012,108,3073052,7434934,0,0,125000,6777370
Lawrence/Broadway,2012,109,3022008,369961,0,0,473000,13169640
Wilson Yard,2012,110,6736346,9590037,0,0,0,15977683
105th/Vincennes,2012,111,352585,2197841,553381,0,18000,181644
79th Street/Southwest Highway,2012,112,0,489754,0,0,99000,6321196
Roseland/Michigan,2012,113,509504,331939,0,0,314000,3421920
119th and Halsted,2012,114,0,677586,0,0,21000,3463124
Chicago/Central Park,2012,115,5787328,13686615,7089795,0,0,68110028
Lawrence/Pulaski,2012,116,1385155,1630295,0,0,229000,9007491
47th/Ashland,2012,117,2550635,2422783,218826,0,0,20299523
47th/King Drive,2012,118,7161911,2855099,0,7053272,2817000,28608572
Lakefront,2012,119,235102,484271,0,0,93000,378983
45th/Western Industrial Park Conservation Area,2012,120,93342,3604,0,0,0,403598
47th/Halsted,2012,121,3041918,4914264,3950064,218826,1150000,0
Drexel Boulevard,2012,122,393627,564296,0,0,0,183635
Avalon Park/South Shore,2012,123,632085,60793,0,452327,215000,2953460
67th/Cicero,2012,124,93877,307650,0,0,21000,453209
119th/I-57,2012,125,2520330,497667,0,553381,229000,6773745
Madden/Wells,2012,126,938665,516943,0,0,0,2018652
87th/Cottage Grove,2012,127,2014533,531914,0,1485546,264000,6614822
Commercial Avenue,2012,128,1524172,274376,0,0,1369000,10413847
Diversey/Narragansett,2012,129,2503001,2473258,0,0,21000,2213477
Edgewater/Ashland,2012,130,227534,66357,0,0,262000,1675111
35th/State,2012,131,470515,2806878,0,0,334000,2182315
40th/State,2012,132,0,0,0,0,0,0
40th/State,2012,132,0,0,0,0,0,0
83rd/Stewart,2012,133,401956,1682222,0,0,0,151730
Devon/Sheridan,2012,134,348309,1320261,0,0,48000,1254578
Pratt/Ridge Industrial Park Conservation Area,2012,135,283128,7947,0,0,0,673375
47th/State,2012,136,1731818,672783,0,0,746000,6619932
Lakeside/Clarendon,2012,137,3047,3056,0,0,54000,498779
69th/Ashland,2012,138,520497,250079,0,0,52000,1290446
Ravenswood Corridor,2012,139,740082,214942,0,0,319000,4033474
79th/Cicero,2012,140,647454,512316,0,0,0,722537
26th and King Drive,2012,141,810162,17397,0,0,0,1065721
Western Avenue/Rock Island,2012,142,1318566,257002,0,0,789000,8108370
63rd/Ashland,2012,143,1400060,102687,0,0,0,2877483
Harrison/Central,2012,144,581368,886980,0,0,0,1482249
73rd/University,2012,145,541682,217332,0,0,41000,2796027
Touhy/Western,2012,146,270936,1947615,1539900,0,0,9595420
LaSalle Central,2012,147,0,13073327,0,0,159000,18783305
Harlem Industrial Park Conservation Area,2012,148,44388,49397,0,0,57000,671264
Stevenson/Brighton,2012,149,133117,430911,0,0,0,2921418
Addison South,2012,150,2967567,320392,0,0,620000,10182147
Armitage/Pulaski,2012,151,252216,24987,0,0,63000,1240597
Little Village Industrial Corridor,2012,152,75126,208211,0,0,0,7551257
Elston/Armstrong Industrial Corridor,2012,153,194177,258913,0,0,113000,1522099
Pershing/King,2012,154,35433,4283597,4553272,0,0,216448
79th/Vincennes,2012,155,336783,13204,0,0,0,2194305
Austin Commercial,2012,156,872721,529294,0,0,256000,4485161
Hollywood/Sheridan,2012,157,2740,818037,0,0,0,1425704
Weed/Freemont,2012,158,335796,382331,0,0,0,562137
134th and Avenue K,2012,159,0,1183,0,0,0,21060
Kennedy/Kimball,2012,160,169032,0,0,0,0,721537
Ogden/Pulaski,2012,161,1202623,898284,0,0,0,5774821
Kostner Avenue,2012,162,0,1183,0,0,0,962
Archer/Western,2012,163,17336,122037,0,0,0,862109
Little Village East,2012,164,107739,5055,0,0,0,460644
Irving Park/Elston,2012,165,124368,9851,0,0,0,786837
North Pullman,2012,166,10335,230671,0,0,0,113025
Avondale,2012,167,29122,213468,0,0,0,1221095
Calumet River,2012,168,0,0,0,0,0,0
Ewing Avenue,2012,169,88916,169947,0,0,0,722080
Chicago Lakeside Development Ph.1,2012,170,0,0,0,0,0,0
West Woodlawn,2012,171,3439,2796,0,0,0,102530
Randolph/Wells,2012,172,2055,17365,0,0,0,48156
Montrose/Clarendon,2012,173,0,0,0,0,0,0
67th/Wentworth,2012,174,0,0,0,0,0,0
51st/Lake Park,2012,175,0,0,0,0,0,0
35th/Halsted,2013,1,4350228,6428250,0,0,1384000,20328678
41st/King,2013,2,156175,134929,0,0,0,929691
49th Street/St. Lawrence Avenue,2013,4,379657,77982,0,0,0,2658377
60th and Western,2013,5,350082,7035,0,400000,0,3480258
95th Street and Stony Island,2013,8,1028295,23127,0,0,0,3254719
95th and Western,2013,9,565674,154646,1200000,0,0,5131299
126th and Torrence,2013,10,899846,1045263,0,0,0,1215193
Addison Corridor North,2013,11,1339117,40952,0,1354000,0,9154681
Bryn Mawr/Broadway,2013,13,1732136,384223,0,1125000,0,10831431
Englewood Mall,2013,21,239594,354181,0,0,0,4722778
Goose Island,2013,23,3023418,2606169,0,0,0,13320394
Homan-Arthington,2013,24,279961,1357104,0,0,0,4090429
Irving/Cicero,2013,27,654736,1031526,0,0,0,345020
Lincoln-Belmont-Ashland,2013,28,1029317,1246871,0,0,0,1402934
Michigan/Cermak,2013,29,1275832,11256253,6000000,195000,0,1796952
Near North,2013,30,16983065,15084250,2500000,0,626000,57716977
Near South,2013,31,60967751,100535661,0,36500000,0,125431493
Near West,2013,32,10740747,10226413,2120000,11698551,5025000,20738245
North Branch (North),2013,33,3865408,6656128,0,0,0,32892846
North Branch (South),2013,34,5902428,2489705,0,2500000,883000,25539986
North-Cicero,2013,35,1004806,2756412,0,0,0,895737
Read-Dunning,2013,36,2237617,2186335,0,0,0,10969320
River South,2013,37,14025876,11061879,0,7115000,0,50371935
Roosevelt/Cicero,2013,38,2146974,207163,0,731362,1480000,12676785
Roosevelt/Canal,2013,39,1044827,913857,0,0,0,2031524
Roosevelt-Homan,2013,40,1058785,270928,0,0,0,9071872
Sanitary Drainage and Ship Canal,2013,42,501105,1194104,0,0,0,468896
Stockyards Annex,2013,43,990150,933491,0,0,0,8362498
Stockyards Industrial Commercial,2013,44,1487807,2702979,0,0,1146000,4847917
Stockyards Southeast Quadrant Industrial,2013,45,1638208,46226,0,0,1279000,10686439
Western/Ogden,2013,48,6693046,3985929,0,0,0,31645766
89th and State,2013,49,302449,140366,0,0,0,600313
West Pullman Industrial Park Conservation Area,2013,50,0,185335,280500,0,0,123223
Kinzie Industrial Corridor,2013,52,16177357,13114168,0,3879576,0,48112530
Pilsen Industrial Corridor,2013,53,9875017,10405708,0,0,0,44560073
Stony Island Avenue Commercial and Burnside Industrial Corridors,2013,54,2931368,967596,0,2912685,0,6077848
43rd/Cottage Grove,2013,55,2168701,50330,0,0,0,13231650
79th Street Corridor,2013,56,590985,107922,0,0,0,6045634
Jefferson Park Business District,2013,57,651721,841480,0,0,0,4263439
Portage Park,2013,58,1864153,542551,0,0,939000,14758868
Calumet Avenue/Cermak Road,2013,59,4504076,220798,0,6000000,0,15951693
71st/Stony Island,2013,60,2790021,6284764,4914483,0,0,18537978
Bronzeville,2013,61,2980379,1805325,0,0,0,16158744
Roosevelt/Racine,2013,62,1640956,863799,0,0,0,5290005
Canal/Congress,2013,63,16861700,1049870,0,0,3987000,61191121
Northwest Industrial Corridor,2013,64,5830320,4859525,0,3721579,0,18326511
Woodlawn,2013,65,2386193,1630122,0,2535276,0,10752268
Greater Southwest Industrial Corridor (East),2013,66,584992,259560,0,0,0,3202102
Archer Courts,2013,67,377836,112683,0,0,0,1860322
Roosevelt/Union,2013,68,3691621,76646,0,0,0,9245271
Pulaski Corridor,2013,69,2011959,1478564,0,720269,0,13214112
Clark/Montrose,2013,70,2045345,1974966,0,2000000,0,7640521
Galewood/Armitage Industrial,2013,71,2433602,3983268,2247003,0,0,24371478
24th/Michigan,2013,72,1075031,2521259,43810000,0,0,47636376
111th Street/Kedzie Avenue Business District,2013,73,511949,326267,0,0,0,3203993
Clark Street and Ridge Avenue,2013,74,1697017,844532,0,3136000,0,6598692
Madison/Austin Corridor,2013,75,1742066,5017624,3811771,0,0,14054665
Devon/Western,2013,76,1905201,1161937,550000,1680289,0,7596900
Lincoln Avenue,2013,77,2344437,3088898,749998,0,0,9880188
South Works Industrial,2013,78,79534,3981,0,0,0,1041670
35th and Wallace,2013,79,651397,43786,0,0,0,4171495
Belmont/Central,2013,81,2382654,284659,0,1994811,0,11432894
Belmont/Cicero,2013,82,982468,302754,0,0,0,4713161
West Irving Park,2013,83,579759,1369394,0,0,0,5145482
Western Avenue North,2013,84,4268644,1735395,2000000,749998,0,24045757
Western Avenue South,2013,85,5386700,1950098,0,0,0,26335940
Central West,2013,86,12914078,10325079,11698551,0,0,68384833
Fullerton/Milwaukee,2013,87,5375724,3970265,0,0,0,24575181
Lawrence/Kedzie,2013,88,5766307,6362093,2500000,0,0,22044393
Midway Industrial Corridor,2013,89,1270026,64564,0,1016634,0,4672621
Peterson/Cicero,2013,90,437456,23098,0,0,0,1976214
Peterson/Pulaski,2013,91,486105,244989,0,0,0,6341998
Greater Southwest Industrial Corridor (West),2013,92,-190729,138206,0,350000,0,8339476
South Chicago,2013,93,1100770,26080,0,0,0,7805169
Chicago/Kingsbury,2013,94,18446757,1774002,0,0,2240000,50158372
Midwest,2013,95,11448176,4410957,0,0,0,49077482
Cicero/Archer,2013,96,464594,214339,0,0,0,7190397
51st/Archer,2013,97,467945,7140015,2695228,0,0,9070431
63rd/Pulaski,2013,98,1457197,446568,0,1678594,0,5704684
Archer/Central,2013,99,389022,312085,0,0,0,3417622
Ohio/Wabash,2013,100,1479152,1255036,0,0,0,1473683
Jefferson/Roosevelt,2013,101,4835858,472469,0,0,1574000,18359351
Montclare,2013,102,249329,245842,0,0,0,713837
Lake Calumet Area Industrial,2013,103,127609,135549,0,8034600,0,6617852
River West,2013,104,13938535,4942251,0,0,3123000,50523063
53rd Street,2013,105,419873,1365245,0,0,0,1644208
Englewood Neighborhood,2013,106,3933652,4093301,0,0,0,24050836
Division/Homan,2013,107,970048,473811,0,0,0,7963214
Humboldt Park Commercial,2013,108,2280863,1292033,0,0,0,7781811
Lawrence/Broadway,2013,109,3022844,1217283,0,2872000,0,12130097
Wilson Yard,2013,110,5720305,5679230,0,0,0,16050179
105th/Vincennes,2013,111,304844,761108,353380,0,0,79281
79th Street/Southwest Highway,2013,112,1143182,172657,0,0,0,7305531
Roseland/Michigan,2013,113,314868,194712,0,1300000,0,2247917
119th and Halsted,2013,114,570342,244845,0,280500,0,3515651
Chicago/Central Park,2013,115,4272824,13722741,7418559,0,0,66436822
Lawrence/Pulaski,2013,116,1188691,408744,0,2500000,0,7306554
47th/Ashland,2013,117,1989315,4487363,218729,0,0,18211472
47th/King Drive,2013,118,5761473,1545474,0,170354,0,32716899
Lakefront,2013,119,263316,63933,0,0,0,579339
45th/Western Industrial Park Conservation Area,2013,120,61130,13866,0,0,0,451683
47th/Halsted,2013,121,2331137,2608883,0,218729,0,14223927
Drexel Boulevard,2013,122,319404,363763,0,0,0,139656
Avalon Park/South Shore,2013,123,388028,152534,0,529272,0,2665980
67th/Cicero,2013,124,407606,335611,350000,0,0,876605
119th/I-57,2013,125,1841441,3479094,950000,353380,0,5745995
Madden/Wells,2013,126,1224726,434649,0,0,0,2813468
87th/Cottage Grove,2013,127,1400621,807015,0,1687250,0,5535500
Commercial Avenue,2013,128,0,292349,0,0,0,11210265
Diversey/Narragansett,2013,129,1784681,1449870,0,0,0,2554087
Edgewater/Ashland,2013,130,219887,19775,0,0,0,1878764
35th/State,2013,131,1348284,919304,0,0,0,2616872
40th/State,2013,132,0,0,0,0,0,0
83rd/Stewart,2013,133,1086898,670150,0,0,0,569534
Devon/Sheridan,2013,134,102650,0,3136000,0,0,0
Pratt/Ridge Industrial Park Conservation Area,2013,135,-63,4676,0,0,0,670180
47th/State,2013,136,1123408,134496,0,0,0,7623132
69th/Ashland,2013,138,456804,890187,0,0,0,859235
Ravenswood Corridor,2013,139,656717,205304,0,0,0,4493639
79th/Cicero,2013,140,375729,963277,0,0,0,136036
26th and King Drive,2013,141,607202,830190,0,0,0,844499
Western Avenue/Rock Island,2013,142,525142,756488,0,2150000,0,5741477
63rd/Ashland,2013,143,784829,823896,400000,0,0,3245119
Harrison/Central,2013,144,-53870,1096410,731362,0,0,1066219
73rd/University,2013,145,117149,6766,0,0,0,2912259
Touhy/Western,2013,146,293788,2185314,1680289,0,0,9526297
LaSalle Central,2013,147,21420164,9078946,0,0,0,31173086
Harlem Industrial Park Conservation Area,2013,148,-5968,111656,0,0,0,554943
Stevenson/Brighton,2013,149,31953,11399,0,0,0,2948252
Addison South,2013,150,2203397,789329,0,0,0,11618328
Armitage/Pulaski,2013,151,20637,91625,0,0,0,1112204
Little Village Industrial Corridor,2013,152,-17392,117483,0,0,0,1419549
Elston/Armstrong Industrial Corridor,2013,153,70176,169222,0,0,0,1426224
Pershing/King,2013,154,-732,187186,170354,0,0,199573
79th/Vincennes,2013,155,12351,64297,0,0,0,2146880
Austin Commercial,2013,156,553732,727222,0,0,0,4321034
Hollywood/Sheridan,2013,157,-9142,1885195,3997000,0,0,3531593
Weed/Freemont,2013,158,480684,348973,0,0,0,694661
134th and Avenue K,2013,159,700,1210,0,0,0,20593
Kennedy/Kimball,2013,160,-523,106770,0,0,0,615650
Ogden/Pulaski,2013,161,117644,1175363,0,0,0,4728314
Kostner Avenue,2013,162,0,1197,0,0,0,-2331
Archer/Western,2013,163,150544,12584,0,0,0,842681
Little Village East,2013,164,-4295,4351,0,0,0,452958
Irving Park/Elston,2013,165,-7775,32372,0,0,0,748278
North Pullman,2013,166,81556,8114599,8100000,0,83060,99798
Avondale,2013,167,-13488,44449,0,0,0,1165661
Calumet River,2013,168,0,0,0,0,0,0
Ewing Avenue,2013,169,294047,90695,2734600,0,0,3663825
Chicago Lakeside Development Ph.1,2013,170,0,0,0,0,0,0
West Woodlawn,2013,171,-2398,411205,1250000,0,0,940713
Randolph/Wells,2013,172,408105,10276,0,0,0,446399
Montrose/Clarendon,2013,173,0,0,0,0,0,0
67th/Wentworth,2013,174,0,0,0,0,0,0
51st/Lake Park,2013,175,0,0,0,0,0,0
35th/Halsted,2014,1,4540874,1948674,0,0,0,22985458
41st/King,2014,2,168003,84284,0,0,0,1016255
49th Street/St. Lawrence Avenue,2014,4,390241,77832,0,0,140920,2837963
60th and Western,2014,5,86444,7212,0,2000000,0,1567441
95th Street and Stony Island,2014,8,971633,35391,0,0,0,4147598
95th and Western,2014,9,570670,1185610,0,0,0,4536386
126th and Torrence,2014,10,954516,1254049,0,0,0,918519
Addison Corridor North,2014,11,1250442,37313,0,0,8200000,2184795
Bryn Mawr/Broadway,2014,13,1632850,454204,0,500000,56950,11484996
Englewood Mall,2014,21,259170,10516373,7500000,0,0,1991381
Goose Island,2014,23,4009433,16055143,10000000,0,54390,11243560
Homan-Arthington,2014,24,473091,19860,1062798,0,0,5619585
Irving/Cicero,2014,27,699525,108665,0,0,0,938035
Lincoln-Belmont-Ashland,2014,28,1008216,5252888,0,0,0,-2761019
Michigan/Cermak,2014,29,1377532,0,3000000,0,0,6740575
Near North,2014,30,17924411,11699083,0,0,0,64075780
Near South,2014,31,56491273,102323934,0,45300000,0,34604993
North Branch (North),2014,33,3982045,25690543,0,0,0,11265208
North Branch (South),2014,34,6146681,1039887,0,10000000,3166160,17557448
North-Cicero,2014,35,1138632,69168,0,0,0,1970209
Read-Dunning,2014,36,2573315,270300,0,0,102000,13201617
River South,2014,37,14398092,16218627,4115000,6602753,0,46209185
Roosevelt/Cicero,2014,38,1939130,734936,0,909880,1702020,11305135
Roosevelt/Canal,2014,39,951530,934440,0,0,0,2053899
Roosevelt-Homan,2014,40,953708,3174172,0,1062798,231300,5585135
Sanitary Drainage and Ship Canal,2014,42,516230,22303,0,0,0,965072
Stockyards Annex,2014,43,742720,903068,0,0,0,8228097
Stockyards Southeast Quadrant Industrial,2014,45,1183366,1472100,0,0,14100,10382603
Western/Ogden,2014,48,5672237,13339775,0,0,0,24063573
West Pullman Industrial Park Conservation Area,2014,50,0,1454,0,97500,0,24676
Kinzie Industrial Corridor,2014,52,18379029,6616177,0,3690643,0,56348066
Pilsen Industrial Corridor,2014,53,9309162,38892290,0,0,73170,50843157
Stony Island Avenue Commercial and Burnside Industrial Corridors,2014,54,2731992,1177678,0,1765123,0,5886092
43rd/Cottage Grove,2014,55,2212285,224802,0,0,0,15261027
79th Street Corridor,2014,56,600042,64730,0,0,376410,6222771
Jefferson Park Business District,2014,57,570876,206560,0,0,132840,4508143
Portage Park,2014,58,1630968,1912086,0,0,2075280,12445037
Calumet Avenue/Cermak Road,2014,59,8978246,34526030,28000000,3000000,0,15460734
71st/Stony Island,2014,60,2793166,10338475,5268841,0,0,16299774
Bronzeville,2014,61,3125574,1975359,0,2500000,0,14859609
Roosevelt/Racine,2014,62,1664745,822260,0,0,62780,6085546
Canal/Congress,2014,63,19594590,14709639,0,0,0,66278297
Northwest Industrial Corridor,2014,64,5588693,2268863,0,3696488,0,18011851
Woodlawn,2014,65,2617189,475679,0,1535981,0,11392687
Greater Southwest Industrial Corridor (East),2014,66,534928,1227344,0,0,0,2518805
Archer Courts,2014,67,309505,105858,0,0,33880,2035903
Roosevelt/Union,2014,68,4170092,4170160,0,0,0,9268932
Pulaski Corridor,2014,69,1869691,3430819,0,670284,0,11021197
Clark/Montrose,2014,70,2050933,1107258,0,0,143740,8463971
Galewood/Armitage Industrial,2014,71,3040190,11417949,2304932,0,0,18513166
24th/Michigan,2014,72,984113,53804217,23902753,4115000,0,14712197
111th Street/Kedzie Avenue Business District,2014,73,525591,461267,0,0,0,3278114
Clark Street and Ridge Avenue,2014,74,1721631,835526,0,0,92980,7418806
Madison/Austin Corridor,2014,75,1631181,5343031,4007076,909880,0,13469354
Devon/Western,2014,76,1799709,3771614,700000,1699498,0,4650092
Lincoln Avenue,2014,77,2380002,4276247,749328,0,0,8755466
South Works Industrial,2014,78,70279,4353,0,0,0,1110802
35th and Wallace,2014,79,656208,67950,0,0,0,4772933
Belmont/Central,2014,81,2094902,292206,0,2049049,0,11223110
Belmont/Cicero,2014,82,886616,170237,0,0,45210,5399582
West Irving Park,2014,83,586133,477105,0,0,0,5270164
Western Avenue North,2014,84,3961138,10384315,0,1449328,0,16240917
Western Avenue South,2014,85,5415039,16853637,0,0,0,14982403
Central West,2014,86,14792414,26269802,0,0,0,57003957
Fullerton/Milwaukee,2014,87,5805207,14086654,0,0,0,16561697
Lawrence/Kedzie,2014,88,5510391,14557540,0,0,0,13091940
Midway Industrial Corridor,2014,89,1088059,29023,0,1029996,0,4717273
Peterson/Cicero,2014,90,454109,190073,0,0,0,2246760
Peterson/Pulaski,2014,91,445937,1998567,0,0,0,4805193
Greater Southwest Industrial Corridor (West),2014,92,91877,31233,0,2934023,402867,5161962
South Chicago,2014,93,1128096,341713,0,0,188200,8427225
Chicago/Kingsbury,2014,94,19170514,1408981,0,0,3624480,64467326
Midwest,2014,95,12231406,12172418,0,3278085,0,46069469
Cicero/Archer,2014,96,500927,106010,0,0,386730,7219919
51st/Archer,2014,97,428257,4511031,2707622,0,0,7771110
63rd/Pulaski,2014,98,1560518,245617,0,1677626,0,5360838
Archer/Central,2014,99,385659,1363101,0,0,54200,2395244
Ohio/Wabash,2014,100,1504477,1471800,0,0,0,1509399
Jefferson/Roosevelt,2014,101,4609865,1092493,0,0,5791700,16137588
Montclare,2014,102,221966,161293,0,0,0,776772
Lake Calumet Area Industrial,2014,103,2185703,1517035,0,4200000,0,3109227
River West,2014,104,13250612,6295697,0,8600000,5495900,43531719
