tif_name,tif_year,tif_number,property_tax_extraction,expenses,transfers_in,transfers_out,distribution,fund_balance_end
Stockyards Southeast Quadrant Industrial,2000,45,1807287,1876843,0,0,0,17543061
West Grand,2000,46,75893,3297,0,0,0,180286
West Ridge/Peterson,2000,47,126972,6920,0,0,0,1520536
89th and State,2000,49,0,0,0,0,0,0
West Pullman Industrial Park Conservation Area,2000,50,38120,858,0,0,0,37524
26th/Kostner,2000,51,0,0,0,0,0,0
Kinzie Industrial Corridor,2000,52,4192564,1202765,0,0,0,5870708
Pilsen Industrial Corridor,2000,53,1029211,87597,0,0,0,1562628
Stony Island Avenue Commercial and Burnside Industrial Corridors,2000,54,468531,14129,0,0,0,753714
43rd/Cottage Grove,2000,55,79460,2862,0,0,0,145072
79th Street Corridor,2000,56,311539,161598,0,0,0,380543
Portage Park,2000,58,177935,130281,0,0,0,1500466
Calumet Avenue/Cermak Road,2000,59,144308,187034,0,0,0,162088
71st/Stony Island,2000,60,0,0,0,0,0,0
Bronzeville,2000,61,212173,654606,0,0,0,211478
Roosevelt/Racine,2000,62,0,0,0,0,0,0
Canal/Congress,2000,63,527746,11541,0,0,0,526452
Northwest Industrial Corridor,2000,64,119177,2610,0,0,0,117374
Woodlawn,2000,65,0,350000,0,0,0,1817
Greater Southwest Industrial Corridor (East),2000,66,219516,9665,0,0,0,319831
Archer Courts,2000,67,345,8,0,0,0,337
Roosevelt/Union,2000,68,0,0,0,0,0,0
Pulaski Corridor,2000,69,157370,24809,0,0,0,1848043
Galewood/Armitage Industrial,2000,71,176342,3607,0,0,0,173866
111th Street/Kedzie Avenue Business District,2000,73,38362,819,0,0,0,37784
Clark Street and Ridge Avenue,2000,74,58191,1305,0,0,0,57303
Madison/Austin Corridor,2000,75,107260,2154,0,0,0,105770
Devon/Western,2000,76,0,0,0,0,0,0
Lincoln Avenue,2000,77,143453,3127,0,0,0,141338
South Works Industrial,2000,78,0,0,0,0,0,0
35th and Wallace,2000,79,32344,668,0,0,0,31868
Addison/Kimball,2000,80,0,0,0,0,0,0
Belmont/Central,2000,81,0,0,0,0,0,0
Belmont/Cicero,2000,82,0,0,0,0,0,0
West Irving Park,2000,83,0,0,0,0,0,0
Western Avenue North,2000,84,0,0,0,0,0,0
Western Avenue South,2000,85,0,0,0,0,0,0
Fullerton/Milwaukee,2000,87,0,0,0,0,0,0
Midway Industrial Corridor,2000,89,0,0,0,0,0,0
Peterson/Cicero,2000,90,0,0,0,0,0,0
Peterson/Pulaski,2000,91,0,0,0,0,0,0
Greater Southwest Industrial Corridor (West),2000,92,0,0,0,0,0,0
South Chicago,2000,93,0,0,0,0,0,0
Chicago/Kingsbury,2000,94,0,0,0,0,0,0
Cicero/Archer,2000,96,0,0,0,0,0,0
63rd/Pulaski,2000,98,0,0,0,0,0,0
Archer/Central,2000,99,0,0,0,0,0,0
Ohio/Wabash,2000,100,0,0,0,0,0,0
Jefferson/Roosevelt,2000,101,0,0,0,0,0,0
Montclare,2000,102,0,0,0,0,0,0
Lake Calumet Area Industrial,2000,103,0,0,0,0,0,0
35th/Halsted,2001,1,502261,84149,0,0,0,1170976
41st/King,2001,2,122841,105679,0,0,0,119085
43rd/Damen,2001,3,120126,7138,0,0,0,798407
49th Street/St. Lawrence Avenue,2001,4,106134,145247,0,0,0,102130
60th and Western,2001,5,141805,7213,0,0,0,719209
72nd and Cicero,2001,6,168736,8030,0,0,0,563745
73rd and Kedzie,2001,7,44,5727,0,0,0,298231
95th Street and Stony Island,2001,8,477409,13926,0,0,0,1136618
95th and Western,2001,9,357821,351042,0,0,0,1681626
126th and Torrence,2001,10,0,0,0,0,0,0
Addison Corridor North,2001,11,158326,8177,0,0,0,406868
Bloomingdale/Laramie,2001,12,0,0,0,0,0,449
Bryn Mawr/Broadway,2001,13,417994,349461,260283,0,0,1333915
Central Loop,2001,14,50571696,107352441,0,6000000,0,184293093
Chatham-Ridge,2001,15,1494443,1272466,0,0,0,10304591
Division-Hooker,2001,17,230106,412131,0,0,0,106840
Division-Hooker,2001,17,230106,412131,0,0,0,106840
Division/North Branch,2001,18,219601,310821,0,0,0,377929
Eastman/North Branch,2001,19,133074,7501,0,0,0,648242
Edgewater,2001,20,203822,9549,0,-260283,0,1164711
Englewood Mall,2001,21,273325,1079362,0,0,0,1583272
Fullteron/Normandy,2001,22,607380,1971802,0,0,0,1291156
Goose Island,2001,23,1673657,3328317,0,0,0,4071964
Homan-Arthington,2001,24,499418,14312,0,0,0,781665
Homan/Grand Trunk,2001,25,96545,6617,0,0,0,752582
Howard-Paulina,2001,26,438955,1114271,0,0,0,2505541
Irving/Cicero,2001,27,582790,442125,0,0,0,947070
Lincoln-Belmont-Ashland,2001,28,985846,1169871,0,0,0,2004105
Michigan/Cermak,2001,29,206071,14601,0,0,0,885570
Near North,2001,30,4147439,6063917,1000000,0,0,15331860
Near South,2001,31,11685650,14286048,0,0,0,70715553
Near West,2001,32,4273932,2617830,0,5000000,0,18025818
North Branch (North),2001,33,1571668,31720,0,0,0,3581348
North Branch (South),2001,34,2145644,42744,0,-1000000,0,2239833
North-Cicero,2001,35,44046,4739,0,0,0,134873
Read-Dunning,2001,36,1593880,769948,0,0,0,7676371
River South,2001,37,3361990,162010,0,0,0,6946739
Roosevelt/Cicero,2001,38,325973,584903,0,0,0,249342
Roosevelt/Canal,2001,39,1230963,987206,0,0,0,1279958
Roosevelt-Homan,2001,40,331629,11345,0,0,0,2005246
Ryan/Garfield,2001,41,293993,307118,0,-2256419,0,2420919
Sanitary Drainage and Ship Canal,2001,42,785498,614972,0,0,0,2323335
Stockyards Annex,2001,43,901863,116945,0,0,0,3076311
Stockyards Industrial Commercial,2001,44,1981738,2749569,0,0,0,8559969
Stockyards Industrial Commercial,2001,44,1981738,2749569,0,0,0,8559969
Stockyards Southeast Quadrant Industrial,2001,45,1244544,4087674,0,0,0,15144287
West Grand,2001,46,89096,6480,0,0,0,237689
West Ridge/Peterson,2001,47,110461,7439,0,0,0,1882026
Western/Ogden,2001,48,577731,516037,0,0,0,929752
89th and State,2001,49,252066,4302,0,0,0,248762
West Pullman Industrial Park Conservation Area,2001,50,2055,43,0,0,0,40485
26th/Kostner,2001,51,18959,356,0,0,0,19865
Kinzie Industrial Corridor,2001,52,5337009,3475919,0,0,0,7886026
Pilsen Industrial Corridor,2001,53,2726489,729110,0,0,0,3607221
Stony Island Avenue Commercial and Burnside Industrial Corridors,2001,54,791606,161535,0,0,0,2417532
43rd/Cottage Grove,2001,55,243159,9127,0,0,0,384127
79th Street Corridor,2001,56,210645,9164,0,0,0,593810
Jefferson Park Business District,2001,57,85798,151351,0,0,0,812194
Portage Park,2001,58,415057,228394,0,0,0,1725222
Calumet Avenue/Cermak Road,2001,59,460594,13318,0,0,0,617892
71st/Stony Island,2001,60,291249,6126,0,0,0,286394
Bronzeville,2001,61,858355,660421,0,0,0,114686
Roosevelt/Racine,2001,62,40983,751,0,0,0,40443
Canal/Congress,2001,63,1113613,92708,0,0,0,1568397
Northwest Industrial Corridor,2001,64,1355606,27474,0,0,0,1453597
Woodlawn,2001,65,467430,408329,0,0,0,63299
Greater Southwest Industrial Corridor (East),2001,66,96036,7082,0,0,0,418251
Archer Courts,2001,67,432,8,0,0,0,771
Roosevelt/Union,2001,68,18088,264,0,0,0,17871
Pulaski Corridor,2001,69,589077,1577071,0,0,0,874789
Galewood/Armitage Industrial,2001,71,398523,11278,0,0,0,567032
111th Street/Kedzie Avenue Business District,2001,73,239,100439,0,0,0,444984
Clark Street and Ridge Avenue,2001,74,145547,3613,0,0,0,201306
Madison/Austin Corridor,2001,75,47230,5694,0,0,0,150214
Devon/Western,2001,76,336023,5782,0,0,0,331537
Lincoln Avenue,2001,77,912483,21233,0,0,0,1039998
South Works Industrial,2001,78,6362,119,0,0,0,6266
35th and Wallace,2001,79,25692,1547,0,0,0,56935
Addison/Kimball,2001,80,10076,190,0,0,0,9925
Belmont/Central,2001,81,0,0,0,0,0,0
Belmont/Cicero,2001,82,167492,3917,0,0,0,164206
West Irving Park,2001,83,0,0,0,0,0,0
Western Avenue North,2001,84,251023,5440,0,0,0,246721
Western Avenue South,2001,85,0,0,0,0,0,0
Central West,2001,86,872761,2118919,5000000,0,0,6197512
Fullerton/Milwaukee,2001,87,722222,13813,0,0,0,712491
Lawrence/Kedzie,2001,88,1289777,928382,0,0,0,1271490
Midway Industrial Corridor,2001,89,108595,2677,0,0,0,106149
Peterson/Cicero,2001,90,0,0,0,0,0,0
Peterson/Pulaski,2001,91,245608,5329,0,0,0,241210
Greater Southwest Industrial Corridor (West),2001,92,322502,5922,0,0,0,319088
South Chicago,2001,93,307849,6298,0,0,0,302992
Chicago/Kingsbury,2001,94,181097,4117,0,0,0,117712
Midwest,2001,95,2231796,39113,0,0,0,2201893
Cicero/Archer,2001,96,59293,2049,0,0,0,57474
63rd/Pulaski,2001,98,52174,1919,0,0,0,50452
Archer/Central,2001,99,0,0,0,0,0,0
Ohio/Wabash,2001,100,69237,1302,0,0,0,69735
Jefferson/Roosevelt,2001,101,525847,10272,0,0,0,517431
Montclare,2001,102,5165,97,0,0,0,5089
Lake Calumet Area Industrial,2001,103,0,0,0,0,0,0
River West,2001,104,0,0,0,0,0,0
53rd Street,2001,105,0,0,0,0,0,0
Englewood Neighborhood,2001,106,0,0,0,0,0,0
Division/Homan,2001,107,0,0,0,0,0,0
Humboldt Park Commercial,2001,108,0,0,0,0,0,0
Lawrence/Broadway,2001,109,0,0,0,0,0,0
Wilson Yard,2001,110,0,0,0,0,0,0
105th/Vincennes,2001,111,0,0,0,0,0,0
79th Street/Southwest Highway,2001,112,0,0,0,0,0,0
35th/Halsted,2002,1,726629,564438,0,0,0,1349576
41st/King,2002,2,125450,175762,0,0,0,69800
43rd/Damen,2002,3,103477,6919,0,-880000,0,22214
49th Street/St. Lawrence Avenue,2002,4,155186,109516,0,0,0,149031
60th and Western,2002,5,127613,11352,0,0,0,1088376
72nd and Cicero,2002,6,162561,549294,0,0,0,182468
73rd and Kedzie,2002,7,39647,5455,0,0,0,338716
95th Street and Stony Island,2002,8,1362818,1287917,0,0,0,1239791
95th and Western,2002,9,364828,348907,0,0,0,1713325
126th and Torrence,2002,10,0,0,0,0,0,0
Addison Corridor North,2002,11,405616,11306,0,0,0,805864
Bloomingdale/Laramie,2002,12,0,0,0,0,0,0
Bryn Mawr/Broadway,2002,13,309847,312254,277486,0,0,462208
Central Loop,2002,14,53400347,101644265,0,-9593000,0,129779350
Chatham-Ridge,2002,15,1272093,1180962,0,0,0,27440308
Division-Hooker,2002,17,237227,8699,0,0,0,338027
Division/North Branch,2002,18,215140,313695,0,0,0,434096
Eastman/North Branch,2002,19,99335,6254,0,0,0,116980
Edgewater,2002,20,211941,9017,0,-277486,0,1226934
