labels,examples,where_at
change in net assets,"396069, 396069 | (808778), (808778) | (164186), (164186) | 51758, 51758 | (409914), (409914) | (34838), (34838) | 43567, 43567 | 15755, 15755 | 293107, 293107 | 627577, 627577 | 178213, 178213 | 147899, 147899 | (660470), (660470) | 168909, 168909 | 11826, 11826 | 567621, 567621 | 414796, 414796 | 618333, 618333 | 697978, 697978 | 2600701, 2600701 | 79808, 79808 | 303594, 303594 | 16469, 16469 | 222346, 222346 | 1353883, 1353883 | 4980595, 4980595 | 2252388, 2252388 | 942419, 942419 | 82906, 82906 | (5537938), (5537938) | 3215813, 3215813 | (145667), (145667) | (419856), (419856) | 424590, 424590 | 425863, 425863 | (961673), (961673) | 740019, 740019 | 813172, 813172 | (784973), (784973) | 81897, 81897 | 497294, 497294","2002_1, 2002_3, 2002_5, 2002_4, 2002_6, 2002_2, 2002_8, 2002_7, 2002_13, 2002_11, 2002_9, 2002_18, 2002_19, 2002_17, 2002_20, 2002_22, 2002_23, 2002_21, 2002_24, 2002_26, 2002_27, 2002_28, 2002_25, 2002_29, 2002_30, 2002_32, 2002_15, 2002_33, 2002_35, 2002_36, 2002_37, 2002_38, 2002_39, 2002_40, 2002_41, 2002_42, 2002_43, 2002_44, 2002_45, 2002_46, 2002_47"
total revenues,"793102, 621240 | 88130 | 37960 | 101511 | 336 | 191151 | 164595 | 1070672, 1139372 | 656 | 97591 | 74437 | 475252, 470532 | 118213 | 176050 | 496954 | 444785 | 12404 | 199493 | 783575, 23386 | 1063111 | 1089772, 372146 | 165847 | 202529 | 834629, 802995 | 2519004, 1993496 | 918 | 602327, 617656 | 218196 | 2643023, 2315842 | 102341, 88130 | 96039, 37960 | 17244, 3361 | 202461, 191151 | 318469, 164595 | 47606 | 1226627, 1097983 | 114331, 97591 | 442763, 475252 | 178055, 176050 | 6032962, 4453624 | 171237, 202529","1997_42, 1997_1, 1997_2, 1997_3, 1997_4, 1997_8, 1997_9, 1997_15, 1997_17, 1997_19, 1997_13, 1997_20, 1997_23, 1997_25, 1997_22, 1997_26, 1997_27, 1997_29, 1997_28, 1997_32, 1997_36, 1997_40, 1997_39, 1997_41, 1997_45, 1997_46, 1997_47, 1997_43, 1997_44, 1998_1, 1998_2, 1998_4, 1998_8, 1998_9, 1998_11, 1998_16, 1998_19, 1998_20, 1998_25, 1998_31, 1998_39"
capital projects,"22816 | 34231 | 2250 | 3227 | 10 | 13754 | 9776 | 146549, 6457 | 21 | 3110 | 1051236 | 10612, 2295 | 3854 | 5482 | 14203 | 13210 | 405 | 65333 | 94781, 1503240 | 1097160 | 40298 | 1319995 | 73758 | 6600 | 20364, 17206 | 1744496, 928797 | 30 | 15652 | 521906, 1768908 | 1642690, 34231 | 39241, 1250 | 577, 107 | 14900, 13754 | 1516980, 9776 | 1599 | 303348, 382913 | 9498, 3110 | 18076, 10612 | 5453, 5482 | 8850692, 1319999 | 5472, 6600","1997_42, 1997_1, 1997_2, 1997_3, 1997_4, 1997_8, 1997_9, 1997_15, 1997_17, 1997_19, 1997_13, 1997_20, 1997_23, 1997_25, 1997_22, 1997_26, 1997_27, 1997_29, 1997_28, 1997_32, 1997_36, 1997_37, 1997_40, 1997_39, 1997_41, 1997_45, 1997_46, 1997_43, 1997_44, 1998_1, 1998_2, 1998_4, 1998_8, 1998_9, 1998_11, 1998_16, 1998_19, 1998_20, 1998_25, 1998_37, 1998_39"
miscellaneous revenue,"40504 | 98, 98 | 187187, 187187 | 293673, 293673 | 2181, 2181 | 121038, 121038 | 44521, 44521 | 383621, 383621 | 140617, 140617 | 113814, 113814 | 517755, 517755 | 6477, 6477 | 20655, 20655 | 444761, 444761 | 347, 347 | 2, 2 | 1201, 1201 | 3797, 3797 | 168768, 168768 | 23450, 23450 | 3245, 3245 | 452, 452 | 121811, 121811 | 1830, 1830 | 46519, 46519 | 33283, 33283 | 253838, 253838 | 225948, 225948 | 86392, 86392 | 8386, 8386 | 80842, 80842 | 2875000, 2875000 | 450, 450 | 25000, 25000 | 15393, 15393 | 325000, 325000 | 741139, 741139 | 66667, 66667 | 38600, 38600 | 876, 876 | 3688, 3688","1999_27, 2003_31, 2020_29, 2020_53, 2020_86, 2020_87, 2020_97, 2020_115, 2020_117, 2020_146, 2020_147, 2021_23, 2021_30, 2021_37, 2021_38, 2021_53, 2021_61, 2021_63, 2021_71, 2021_72, 2021_82, 2021_85, 2021_87, 2021_88, 2021_97, 2021_105, 2021_108, 2021_115, 2021_117, 2021_123, 2021_146, 2004_23, 2004_30, 2004_64, 2006_44, 2006_53, 2006_108, 2007_5, 2007_52, 2007_108, 2008_15"
change in net position,"4762772, 4762772 | (150892), (150892) | (440058), (440058) | (1331053), (1331053) | (112230), (112230) | 783478, 783478 | (5258755), (5258755) | (195532), (195532) | (1539252), (1539252) | (2206894), (2206894) | 35386226, 35386226 | 8819465, 8819465 | 5898277, 5898277 | 1646502, 1646502 | (12869524), (12869524) | 2346437, 2346437 | 435129, 435129 | (3596967), (3596967) | 1804147, 1804147 | 2697433, 2697433 | 58108244, 58108244 | 3974047, 3974047 | 455503, 455503 | (2383598), (2383598) | 164680, 164680 | 421932, 421932 | (821339), (821339) | 1579493, 1579493 | 6059478, 6059478 | (1979174), (1979174) | 44788520, 44788520 | 4546098, 4546098 | 4303739, 4303739 | 179118, 179118 | 79753, 79753 | 1163240, 1163240 | 7155344, 7155344 | (721297), (721297) | 9869853, 9869853 | 5809965, 5809965 | 666243, 666243","2020_1, 2020_4, 2020_5, 2020_9, 2020_13, 2020_21, 2020_23, 2020_24, 2020_27, 2020_29, 2020_30, 2020_33, 2020_34, 2020_35, 2020_37, 2020_38, 2020_42, 2020_43, 2020_45, 2020_48, 2020_52, 2020_53, 2020_54, 2020_55, 2020_56, 2020_57, 2020_58, 2020_60, 2020_61, 2020_62, 2020_63, 2020_64, 2020_65, 2020_66, 2020_67, 2020_68, 2020_69, 2020_70, 2020_71, 2020_72, 2020_73"
total expenditures,"601305 | 764236, 617082 | 1114656 | 561386, 291175 | 310371, 322531 | 12831118, 2344547 | 14124305 | 1701970, 9776 | 945602, 1025431 | 5710461, 4748836 | 315068, 310371 | 756548, 673850 | 1372338, 945602 | 315547, 3962076 | 905940, 11813968 | 18543401, 2112 | 744383, 640858 | 305132, 315068 | 5823103, 1993949 | 351042, 366777 | 349461, 693104 | 1272466, 1149068 | 82390798 | 310821, 316047 | 3328317, 14060289 | 442125, 385775 | 6063917, 27826742 | 769948, 715523 | 307118, 310140 | 614972, 544878 | 4087674, 1876843 | 2749569, 3426436 | 161535, 14129 | 151351, 936414 | 228394, 130218 | 660421, 654606 | 408329, 350000 | 100439, 819 | 422254, (110000), 312254 | 348907, (140000), 208907 | 101644265, (23926854), T7717411","1997_42, 1997_15, 1997_13, 1997_36, 1997_41, 1997_45, 1997_44, 1998_9, 1998_16, 1998_31, 1998_41, 1999_15, 1999_16, 1999_27, 1999_28, 1999_30, 1999_36, 1999_41, 1999_45, 2001_9, 2001_13, 2001_15, 2001_14, 2001_18, 2001_23, 2001_27, 2001_30, 2001_36, 2001_41, 2001_42, 2001_45, 2001_44, 2001_54, 2001_57, 2001_58, 2001_61, 2001_65, 2001_73, 2002_13, 2002_9, 2002_14"
fund balance/net assets:,,"2002_1, 2002_3, 2002_5, 2002_4, 2002_6, 2002_2, 2002_8, 2002_7, 2002_13, 2002_11, 2002_9, 2002_18, 2002_17, 2002_20, 2002_22, 2002_23, 2002_21, 2002_24, 2002_26, 2002_27, 2002_28, 2002_25, 2002_29, 2002_30, 2002_32, 2002_15, 2002_33, 2002_35, 2002_36, 2002_37, 2002_38, 2002_39, 2002_40, 2002_41, 2002_42, 2002_43, 2002_44, 2002_45, 2002_46, 2002_47, 2002_48"
other financing uses:,,"2002_3, 2002_5, 2002_19, 2002_20, 2002_27, 2002_25, 2002_36, 2002_42, 2002_100, 2003_20, 2003_32, 2003_44, 2020_1, 2020_4, 2020_5, 2020_23, 2020_24, 2020_27, 2020_29, 2020_37, 2020_38, 2020_48, 2020_52, 2020_53, 2020_54, 2020_63, 2020_64, 2020_67, 2020_70, 2020_74, 2020_75, 2020_77, 2020_82, 2020_83, 2020_84, 2020_85, 2020_86, 2020_87, 2020_89, 2020_90, 2020_91"
financing uses over revenues,"(776193), 776193 | (659812), 659812 | (270876), 270876 | (5333289), 5333289 | (221947), 221947 | (673747), 673747 | (2514246), 2514246 | (6667384), 6667384 | (1765541), 1765541 | (1083913), 1083913 | (53885), 53885 | (8826048), 8826048 | (1473172), 1473172 | (76627), 76627 | (10953291), 10953291 | (69207), 69207 | (175376), 175376 | (61682769), 61682769 | (9457766), 9457766 | (872189), 872189 | (39458028), 39458028, 7 | (49197052), 49197052 | (20794629), 20794629 | (9373552), 9373552 | (47628946), 47628946 | (123941), 123941 | (1124301), 1124301 | (15223378), 15223378 | (1330894), 1330894 | (704959), 704959 | (1415582), 1415582 | (291697), 291697 | (230066), 230066 | (8511), 8511 | (165556), 165556 | (290743), 290743 | (47550), 47550 | (28552), 28552 | (617515), 617515 | (733044), 733044 | (20399), 20399","2002_3, 2002_19, 2020_5, 2020_23, 2020_24, 2020_27, 2020_29, 2020_37, 2020_53, 2020_70, 2020_74, 2020_86, 2020_90, 2020_91, 2020_94, 2020_101, 2020_113, 2020_180, 2021_1, 2021_29, 2021_30, 2021_33, 2021_34, 2021_35, 2021_37, 2021_58, 2021_70, 2021_72, 2021_85, 2021_91, 2021_96, 2021_107, 2021_119, 2021_180, 2003_101, 2004_44, 2005_16, 2005_44, 2005_54, 2006_23, 2006_44"
expenditures,,"1997_42, 1997_1, 1997_2, 1997_3, 1997_4, 1997_8, 1997_9, 1997_15, 1997_17, 1997_19, 1997_13, 1997_20, 1997_23, 1997_25, 1997_22, 1997_26, 1997_29, 1997_28, 1997_32, 1997_36, 1997_37, 1997_40, 1997_39, 1997_41, 1997_45, 1997_46, 1997_47, 1997_43, 1997_44, 1998_1, 1998_2, 1998_4, 1998_8, 1998_9, 1998_11, 1998_16, 1998_19, 1998_20, 1998_25, 1998_31, 1998_37"
excess of revenues over expenditures,"178600, (178600) | 103807, (32585), 71222 | 304167, (180353), 123814 | 46901, (46901) | 103173, (103173) | 40485, (40485) | 398996, (398996) | 31699, (31699) | 56167, (56167) | 100188, (658), 99530 | 231187, (231187) | 339709, (50397), 289312 | 596090, (596090) | 34926, (34926) | 525686, (525686) | 655122, (655122) | 1633216, (1633216) | 213441, (21972), 191469 | 216646, (216646) | 525253, (525253) | 3589979, (3589979) | 2039824, 212564, 2252388 | 1110914, (1110914) | 89926, (89926) | 1575026, 599576, 2174602 | 2804315, (2804315) | 379050, (379050) | 324984, (324984) | 770256, (770256) | 135616, (135616) | 509601, (509601) | 335715, (335715) | 2414270, (2414270) | 2445836, (2445836) | 740020, (740020) | 443057, (443057) | 134609, (134609) | 173647, (173647) | 624265, (624265) | 765282, (765282) | 252564, (252564)","2002_1, 2002_3, 2002_5, 2002_4, 2002_8, 2002_7, 2002_11, 2002_9, 2002_18, 2002_19, 2002_17, 2002_20, 2002_22, 2002_23, 2002_21, 2002_24, 2002_26, 2002_25, 2002_29, 2002_30, 2002_32, 2002_15, 2002_33, 2002_35, 2002_36, 2002_37, 2002_40, 2002_41, 2002_43, 2002_46, 2002_47, 2002_49, 2002_52, 2002_53, 2002_54, 2002_55, 2002_56, 2002_58, 2002_59, 2002_60, 2002_61"
excess of revenues and other financing sources,,"2002_13, 2002_15, 2020_76, 2020_109, 2020_110, 2020_157, 2021_23, 2021_95, 2021_109, 2003_86, 2003_116, 2007_75, 2007_95, 2009_30, 2010_37, 2010_87, 2012_29, 2012_121, 2012_154, 2013_30, 2013_84, 2013_86, 2014_147, 2015_143, 2016_64, 2016_69, 2016_103, 2017_61, 2017_64, 2017_75, 2017_81, 2017_95, 2017_103, 2018_61, 2018_85, 2018_92, 2019_33, 2019_37, 2019_63, 2019_75, 2019_74"
excess of revenues and other financing,"1529156, (1529156)","2002_84, 2002_87, 2002_93, 2002_95, 2003_13, 2003_36, 2003_45, 2020_57, 2020_61, 2020_79, 2020_88, 2020_97, 2020_115, 2020_134, 2020_143, 2020_149, 2020_161, 2020_166, 2020_183, 2020_184, 2003_75, 2021_64, 2021_97, 2021_115, 2021_134, 2021_146, 2021_156, 2021_157, 2021_161, 2021_163, 2021_166, 2003_81, 2021_182, 2021_183, 2021_184, 2003_85, 2003_108, 2004_13, 2004_53, 2004_106, 2004_115"
revenues,,"1997_42, 1997_1, 1997_2, 1997_3, 1997_4, 1997_8, 1997_9, 1997_15, 1997_17, 1997_19, 1997_13, 1997_20, 1997_23, 1997_25, 1997_22, 1997_26, 1997_27, 1997_29, 1997_28, 1997_32, 1997_36, 1997_37, 1997_40, 1997_39, 1997_41, 1997_45, 1997_46, 1997_47, 1997_43, 1997_44, 1998_1, 1998_2, 1998_4, 1998_8, 1998_9, 1998_11, 1998_16, 1998_19, 1998_20, 1998_25, 1998_31"
operating transfers in (note 3),"1359557 | 260283, 245483 | 1000000 | 277486, 277486 | 270986, 270986 | 1811000, 1811000 | 481259, 481259 | 25592920, 25592920 | 1000000, 1000000 | 28011956, 28011956 | 15289335, 15289335 | 21000000, 21000000 | 18358463, 18358463 | 379717, 379717 | 348762, 348762 | 223355, 223355 | 90000, 90000 | 598857, 598857 | 1108149, 1108149 | 2646998, 2646998 | 342551, 342551 | 518497, 518497 | 246730, 246730 | 853000, 853000 | 2883720, 2883720 | 288449, 288449 | 2000000, 2000000 | 6381356, 6381356 | 1256363, 1256363 | 2870121, 2870121 | 7411497, 7411497 | 2658502, 2658502 | 1338363, 1338363 | 287963, 287963 | 3310952, 3310952 | 314417, 314417 | 1203854, 1203854 | 4217095, 4217095 | 1514944, 1514944 | 950000, 950000 | 143578, 143578","1997_13, 2001_13, 2001_30, 2002_13, 2003_13, 2003_36, 2003_45, 2020_13, 2020_58, 2020_157, 2021_13, 2021_23, 2021_109, 2004_13, 2004_45, 2005_13, 2005_27, 2005_45, 2005_75, 2005_115, 2006_13, 2006_27, 2006_45, 2006_57, 2006_75, 2007_13, 2007_45, 2007_60, 2007_71, 2007_77, 2007_86, 2007_97, 2007_146, 2008_13, 2008_60, 2008_71, 2008_77, 2008_86, 2008_97, 2008_144, 2009_13"
property tax,"685212, 571461 | 1194 | 37572 | 98106 | 33 | 150646 | 154712 | 650 | 94562 | 117224 | 166670 | 431983 | 12301 | 173246 | 766169, 13022 | 935440 | 957120, 310194 | 141659 | 200664 | 909 | 259326, 245610 | 209863 | 94884, 37572 | 16984, 3330 | 161159, 150646 | 47228 | 1107102, 989067 | 107324, 94562 | 240279, 256051 | 161094, 166670 | 5407984, 3798562 | 161643, 200664 | 329862, 356739 | 748 | 38932, 29682 | 102225, 94884 | 1535686, 1007369 | 936753, 1107102 | 126058, 107324 | 138562 | 244086, 161094","1997_42, 1997_1, 1997_2, 1997_3, 1997_4, 1997_8, 1997_9, 1997_17, 1997_19, 1997_23, 1997_25, 1997_22, 1997_27, 1997_29, 1997_28, 1997_32, 1997_36, 1997_40, 1997_39, 1997_46, 1997_47, 1997_43, 1998_2, 1998_4, 1998_8, 1998_11, 1998_16, 1998_19, 1998_20, 1998_25, 1998_31, 1998_39, 1998_41, 1998_46, 1999_1, 1999_2, 1999_15, 1999_16, 1999_19, 1999_24, 1999_25"
excess of expenditures over revenues,"(381277), 381277 | (49285), 49285 | (144831), 160452, 15621 | (148865), 316512, 167647 | (46385), 46385 | (109941), 109941 | (461856), 461856 | (40606), 259283, 218677 | (144461), 144461 | (1504123), 1504123 | (260411), 260411 | (61868), 61868 | (146593), 146593 | (896552), (11217), (907769) | (1245602), 456747, 788855 | 432518, (432518) | (90636), 90636 | (505535), 505535 | (24993), 24993 | (15579), 15579 | (126538), 126538 | (95819), 1218064, 1122245 | (122457), 122457 | (357395), 357395 | (1559046), 1559046 | (23357513), 237252, (23120261) | (110947), 26415, (84532) | (1631128), 1631128 | (2592172), 2592172 | (2472759), 394691, (2078068) | (1929304), 1929304 | (8156709), 12026562, 3869853 | 136081, (104491), 31590 | (9792404), 18617235, 8824831 | (1210763), 1210763 | (722098), 2536456, 1814358 | (2114866), 2114866 | (36296436), 1277671, (35018765) | (11641878), 547978, (11093900) | (9885556), 15711006, 5825450 | (1723372), 1723372","2002_6, 2002_2, 2002_13, 2002_27, 2002_28, 2002_38, 2002_39, 2002_42, 2002_44, 2002_45, 2002_48, 2002_57, 2002_73, 2002_93, 2002_95, 2002_104, 2003_17, 2003_15, 2003_18, 2003_27, 2003_46, 2003_45, 2003_49, 2003_56, 2020_9, 2020_13, 2020_24, 2020_43, 2020_55, 2020_57, 2020_62, 2020_71, 2003_67, 2020_88, 2020_93, 2020_97, 2020_105, 2020_109, 2020_110, 2020_115, 2020_117"
revenues over expenditures,"191797, 621240 | 53899 | 36710 | 98284 | 325 | 177397 | 154819 | 306436, 522290 | 635 | 94481 | 464640, 468237 | 114359 | 170568 | 482745 | 431575 | 11999 | 134160 | 528386, 80971 | 92089 | 524258, 480464 | 888 | 194605, 3704 | 202544 | 56798, 36710 | 16667, 3254 | 46007 | 281025, 72552 | 104833, 94481 | 424687, 464640 | 172602, 170568 | 165765, 195929 | 478389, 524258 | 767, 888 | 6316, 56798 | 1924975, 775527 | 124556, 104833 | 135661 | 573785, 465708 | 248785, 172602 | 521837, 414507 | 2762579, 1364420","1997_42, 1997_1, 1997_2, 1997_3, 1997_4, 1997_8, 1997_9, 1997_15, 1997_17, 1997_19, 1997_20, 1997_23, 1997_25, 1997_22, 1997_26, 1997_27, 1997_29, 1997_36, 1997_40, 1997_41, 1997_46, 1997_47, 1997_43, 1998_2, 1998_4, 1998_11, 1998_16, 1998_19, 1998_20, 1998_25, 1998_39, 1998_41, 1998_46, 1999_2, 1999_15, 1999_19, 1999_24, 1999_22, 1999_25, 1999_26, 1999_32"
excess of expenditures and other,"(1943824), 1943824","2002_3, 2002_19, 2020_5, 2020_23, 2020_24, 2020_27, 2020_29, 2020_37, 2020_53, 2020_70, 2020_74, 2020_86, 2020_90, 2020_91, 2020_94, 2020_101, 2020_113, 2020_180, 2021_1, 2021_29, 2021_30, 2021_33, 2021_34, 2021_35, 2021_37, 2021_58, 2021_70, 2021_72, 2021_85, 2021_91, 2021_96, 2021_107, 2021_119, 2021_180, 2003_101, 2004_44, 2005_16, 2005_44, 2005_54, 2006_23, 2006_44"
revenues:,en,"2001_14, 2002_1, 2002_3, 2002_5, 2002_4, 2002_6, 2002_2, 2002_8, 2002_7, 2002_13, 2002_11, 2002_9, 2002_14, 2002_18, 2002_19, 2002_17, 2002_20, 2002_22, 2002_23, 2002_21, 2002_24, 2002_26, 2002_27, 2002_28, 2002_25, 2002_29, 2002_30, 2002_32, 2002_15, 2002_33, 2002_35, 2002_36, 2002_37, 2002_38, 2002_39, 2002_40, 2002_41, 2002_42, 2002_43, 2002_44, 2002_45"
end of year,"1349576, 670103, 2019679 | 22214, 78928, 101142 | 353000, 1088376 | 149031, 145586, 294617 | 182468, 171282, 353750 | 69800, 129026, 198826 | 1239791, 729101, 1968892 | 338716, 24712, 363428 | (1004362), 462208 | 805864, 389449, 1195313 | 1713325, (181854) | 129779350, (206803194), (77023844) | 434096, (983904) | (11570), 128550, 116980 | 338027, 237000, 575027 | 1226934, 220000, 1446934 | 1887246, 554428, 2441674 | 4106890, (14855805), (10748915) | 2108958, 553731, 2662689 | 1436787, 584715, 2021502 | 1675918, 85814675 | 710366, (3617037), (2906671) | 1957720, (8118694) | 791023, 213000, 1004023 | 1102216, 226092, 1328308 | 15857113, (50379337), (34522224) | 21615797, (4788247, 16827550 | 27440308, (16307407), 11132901 | 4692262, 1495977 | 224799, 90977, 315776 | 1538857, (4106089), (2567232) | 9751054, 3, 13445657 | 139401, 459830, 599231 | 999000, 1817102 | 2384296, 539340, 2923636 | 2745903, (513777), 2232126 | 1102379°, (4340375), (3237996) | 3846567, 899968, 4746535 | 8415508, (9903794), (1488286) | 13640164, (2414681) | 373305, 46599, 419904","2002_1, 2002_3, 2002_5, 2002_4, 2002_6, 2002_2, 2002_8, 2002_7, 2002_13, 2002_11, 2002_9, 2002_14, 2002_18, 2002_19, 2002_17, 2002_20, 2002_22, 2002_23, 2002_21, 2002_24, 2002_26, 2002_27, 2002_28, 2002_25, 2002_29, 2002_30, 2002_32, 2002_15, 2002_33, 2002_35, 2002_36, 2002_37, 2002_38, 2002_39, 2002_40, 2002_41, 2002_42, 2002_43, 2002_44, 2002_45, 2002_46"
economic development projects,"2835033, 2835033 | 198658, 198658 | 8990, 8990 | 3209545, 3209545 | 26409499, 26409499 | 138895, 138895 | 4206746, 4206746 | 792818, 792818 | 726354, 726354 | 709526, 709526 | 3935581, 3935581 | 831809, 831809 | 1093200, 1093200 | 675163, 675163 | 20583069, 20583069 | 335014, 335014 | 816424, 816424 | 4423650, 4423650 | 799474, 799474 | 2029771, 2029771 | 11665311, 11665311 | 4276145, 4276145 | 2322128, 2322128 | 6939239, 6939239 | 1167533, 1167533 | 4039538, 4039538 | 1110320, 1110320 | 3072127, 3072127 | 4280179, 4280179 | 4289859, 4289859 | 5658501, 5658501 | 1177830, 1177830 | 382695, 382695 | 998845, 998845 | 117147, 117147 | 5942799, 5942799 | 1003295, 1003295 | 355904, 355904 | 2370429, 2370429 | 2759907, 2759907 | 455422","2020_1, 2020_4, 2020_5, 2020_9, 2020_13, 2020_21, 2020_23, 2020_24, 2020_27, 2020_29, 2020_30, 2020_33, 2020_34, 2020_35, 2020_37, 2020_38, 2020_42, 2020_43, 2020_45, 2020_48, 2020_52, 2020_53, 2020_54, 2020_55, 2020_56, 2020_57, 2020_58, 2020_60, 2020_61, 2020_62, 2020_63, 2020_64, 2020_65, 2020_66, 2020_67, 2020_68, 2020_69, 2020_70, 2020_71, 2020_72, 2020_73"
