labels,examples,where_at
of existing buildings. (q)g),32025054,2008_14
of revenues and other financing,,2009_34
"ona balance, beginning of year","923177, 745780",1998_8
operating transfers in (note,"379156, 379156",2008_146
other financing sources/uses:,,2002_15
principat retirement,"1585000, (1585000)",2015_77
interest income (ioss),"(807), (807)",2016_78
interest 7,"23218, 23218",2012_116
fund balance/nei assets:,,2012_91
fund balance/nei position:,,2016_119
principal retirement .,"695000, (695000)",2011_28
"principal retirement ,","835000, (835000)",2013_95
fund balance/net assets: a,,2007_3
fund balance/net assets: ee,,2007_121
fund balance/net assets:.,,2005_54
over revenues,"(236704), 236704",2002_27
fund balance/net position (deficiency): .,,2014_71
other financing uses: .,,2012_48
"fund balance/net position: ,",,2014_163
hl,,1998_11
incurred on approved redevelopment projects. (q)(1 1)(a-e),,2008_154
’ operating transfers out (note 2),"(1101912), (1101912)",2010_54
other financing uses — operating,,2006_14
other financing sources”,,1998_37
deficiency of revenues over expenditures,"(48363269), (29378670)",2001_14
end of year _,"6486917, 2304132, 8191049",2006_77
operating transfers in (note 2) :,"1500000, 1500000",2009_154
- total revenues,"16643978, (3542227), 13101751",2016_59
-principal retirement,"570000, (570000)",2011_42
total revenues :,"614680, 103501, 718181",2005_57
"beginning of year, as restated (note 7)","41464850, (14535973), 26928877",2011_95
transfers out (note 4),"(6459266), (6459266)",2006_14
wey,,1998_11
"beginning of year, as restated (note 2}","3210883, 387472, 3598355",2012_149
—,,2016_84
’ fund balance/net assets:,,2005_96
beginning of year 7. -,"27966, 284843, 282809",2016_178
beginning of year 7,"2380372, 746619, 3126994",2007_96
. expenditures/expenses:,,2007_113
2,,2013_32
‘revenues:,,2009_16
beginning of year .,"7333151, 2042889, 9376040",2007_76
"beginning of year ,","2658377, 256255, 2914632",2014_4
3),,2008_146
debt,,2005_73
beginngin of year,"5774821, 4043, 5778864",2013_161
‘ected,,1998_31
and other financings uses,"211355, (211355)",2012_138
‘expenditures/expenses:,,2009_38
‘interest,"6071, 6071",2013_66
_expenditures/expenses:,,2009_109
_end of year,"3567009, 924104, 4491113",2010_57
7 capital projects,"3559322, 2633155",1998_31
’ excess of expenditures over revenues,"(116947), 116947",2014_148
_ . interest,"2269, 2269",2009_79
beginning of year -,"7367669, 1708032, 9075701",2010_13
capital projects (note 2),"407722, 613952",1997_47
total revenues -,"6365530, (1391541), 4973989",2012_85
"capital projects ,","68630491, 281503, 68911994",2004_14
! over revenues and other financing sources,"(13965242), 13965242",2013_32
"""",,2015_36
',,2016_79
"' fund balance, end of year","2110738, 923177",1998_8
(c15),,2008_14
(interest,"72361, 72361",2008_110
(q(1.5),,2007_14
toial revenues,"(2027), 197(1830)",2015_152
tota! expenditures/expenses,"16029964, (8400000), 7629964",2012_31
(under) expenditures,"363599, (153809)",2001_13
tota! other financing sources (uses),"3510000, 3510000",2012_29
- property tax,"551939, 526844, 1078783",2007_139
"total expenditures/expenses ,","8095452, (115423), 7980029",2009_146
: excess of revenues over expenditures,,2013_95
change in net assets.,"223690, 223690",2003_41
total expenditures/expenses-,"1065302, (235000), 830302",2006_27
-,,2014_75
change innetassets,"390837, 390837",2009_21
"change in net position ,","(3921631), (3921631)",2014_37
- change in net assets,"588431, 588431",2008_79
total reven es,107399747,2008_14
- fund balance/net position:,,2015_154
", revenues over expenditures","187561, 177397",1998_8
change in net assets —,"6181131, 6181131",2007_85
- excess of expenditures and other:,,2016_82
change in net assets .,"2716280, 2716280",2006_60
interest income (joss),"(16958), (16958) | (8591), (8591)","2016_70, 2016_129"
operating transfers in,2900000 | 470000,"2008_14, 2008_154"
),,"2004_10, 2005_115"
4,,"1998_11, 2013_94"
(q)(11.5),,"2007_50, 2008_154"
fund batance/net position:,,"2015_45, 2016_174"
interest .,"131750, 131750 | 27283, 27283","2012_42, 2015_60"
7,,"2007_79, 2013_71"
operating transfers out (note 5),"(5514401), (5514401) | (4021043), (4021043)","2010_95, 2011_95"
surplus distribution (note2),"(231048), (231048) | (22491), (22491)","2021_130, 2015_143"
_ end of year,"4847917, 4847917 | 558270","2013_44, 2015_57"
tax liability distribution (note 2},"(37016), (37016) | (91835), (91835)","2012_154, 2012_169"
tax liability distribution (note 3),"(1830166), (1830166) | (638192), (638192)","2011_130, 2012_147"
economic development,"19578, 19578 | 1049012, 1049012","2007_39, 2008_107"
economic development projecis,"3270459, 3270459 | 2318874, 2318874","2015_69, 2016_63"
sales taxes,,"2007_14, 2008_14"
economic projects,"844775, 844775 | 2215721, 2215721","2011_8, 2012_70"
end of year .,"144973, 200000, 344973 | 400837, 221919, 622756","2006_120, 2015_102"
totai other financing uses,"(2183206), (2183206) | (667327), (667327)","2012_98, 2012_123"
