year,tif_number,property_tax,total_expenditures,transfers_in,transfers_out,surplus,end_balance,flags
2006,26,1881410,7308123,0,0,0,3910715,
2006,28,999953,1098619,0,0,0,2134268,
2006,32,7998795,3214830,0,0,0,36567209,
2006,33,4047814,588137,0,0,0,14855962,
2006,34,4264211,1742012,0,0,0,14101764,
2006,35,1085878,1026479,0,0,0,1345697,
2006,36,2205869,3179177,0,0,0,5110357,
2006,37,7500959,479051,0,0,0,19309121,
2006,39,1262446,742665,0,0,0,1740985,
2006,40,667455,250839,0,0,0,3997341,
2006,42,829353,656909,0,0,0,1474556,
2006,46,95630,5551,0,0,0,100568,
2006,47,17392,6028,0,0,0,3062453,
2006,48,2506788,5421661,0,0,0,4010466,
2006,49,241497,559209,0,0,0,39308,
2006,51,42678,3174,0,0,0,108065,
2006,52,11733847,6161102,0,0,0,30816453,
2006,54,1910184,1412525,0,0,0,5252753,
2006,55,1373349,963507,0,0,0,2795060,
2006,56,467976,204973,0,0,0,1334607,
2006,60,1963565,96078,0,0,0,7312306,
2006,61,2597496,107277,0,0,0,8239059,
2006,62,223459,8104,0,0,0,347594,
2006,64,3816760,824674,0,0,0,12617032,
2006,65,1935251,44416,0,0,0,5320443,
2006,66,542960,335363,0,0,0,1042669,
2006,67,292999,2114709,0,0,0,860066,
2006,68,3084548,4208701,0,0,0,3698485,
2006,69,2263194,697658,0,0,0,6296885,
2006,70,1151289,341809,0,0,0,4059473,
2006,71,1100418,70006,0,0,0,3816628,
2006,73,381777,160176,0,0,0,928753,
2006,76,2195254,87073,0,0,0,7333151,
2006,77,2224992,785373,0,0,0,6486917,
2006,78,143795,6531,0,0,0,330922,
2006,79,194069,7468,0,0,0,544176,
2006,81,2216650,242709,0,0,0,7286640,
2006,82,920972,1155605,0,0,0,2146210,
2006,83,844081,29594,0,0,0,4954546,
2006,86,8056466,14832957,0,0,0,16895869,
2006,87,3249086,1790847,0,0,0,9733283,
2006,89,1258384,37388,0,0,0,3497460,
2006,91,765403,92990,0,0,0,2321477,
